tool_id,g1,g2,g3,g4,g5,description,scope,returns,inputs
defi.stablecoin_peg_deviation,defi,stablecoin,stablecoin_peg_deviation,Peg Deviation %,prices.usd table,Calculates cents off peg for stablecoins.,generic,"[""minute:string"",""symbol:string"",""price:number"",""peg_deviation:number""]",[]
price.top_token_gainers,price,performance,top_token_gainers,price performance rank,prices.usd dune table,Ranks tokens by percentage gain over lookback period.,generic,"[""blockchain:string"",""symbol:string"",""contract_address:string"",""pct_change:number"",""rank:number""]",[]
price.token_daily_returns,price,returns,token_daily_returns,daily price returns,prices.usd dune table,Calculates daily percentage returns using lagged prices.,generic,"[""time:timestamp"",""price:number"",""daily_return:number""]",[]
price.token_price_timeseries,price,token,token_price_timeseries,Token Price History,prices.usd,Fetches historical prices aggregated by interval for any token.,generic,"[""time:string"",""avg_price:number"",""min_price:number"",""max_price:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""interval"", ""label"": ""Interval"", ""type"": ""interval"", ""required"": false, ""default"": ""day""}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": false, ""default"": null}, {""key"": ""date_to"", ""label"": ""End Date"", ""type"": ""date_to"", ""required"": false, ""default"": null}]"
price.token_moving_averages,price,technical,token_moving_averages,Price & SMAs,prices.usd daily,Computes daily price with SMA 30/90/200.,generic,"[""day:string"",""price:number"",""ma_30:number"",""ma_90:number"",""ma_200:number""]",[]
price.price_change_pct,price,token,price_change_pct,Price Change Percent,prices.usd,"Calculates 24h, 7d, or custom period price change percentage.",generic,"[""current_price:number"",""prior_price:number"",""pct_change:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""1""}]"
price.multi_token_price_index,price,token,multi_token_price_index,Multi-Token Index,prices.usd,Builds weighted price index from multiple specified tokens.,generic,"[""day:string"",""index_value:number""]","[{""key"": ""token_symbols"", ""label"": ""Token Symbols"", ""type"": ""text"", ""required"": true, ""default"": null}, {""key"": ""weights"", ""label"": ""Weights"", ""type"": ""text"", ""required"": true, ""default"": null}]"
price.token_ath_status,price,ath,token_ath_status,ATH detection,prices.usd max window,Identifies all-time highs and new ATH events per token.,generic,"[""symbol:string"",""date:string"",""price:number"",""ath:number"",""status:string""]",[]
price.token_pair_ratio,price,ratio,token_pair_ratio,price ratio,prices.usd dune table,Computes ratio between two token prices over time.,generic,"[""minute:timestamp"",""price1:number"",""price2:number"",""ratio:number""]",[]
price.token_pair_correlation,price,correlation,token_pair_correlation,Return correlation,prices.usd returns + cov,Computes correlation of daily returns and volatilities for token pair.,generic,"[""correlation:number"",""vol1:number"",""vol2:number""]",[]
price.annualized_volatility,price,volatility,annualized_volatility,Annualized Volatility,prices.usd returns stddev,Computes rolling annualized volatility from daily returns.,generic,"[""day:string"",""vol_30d:number"",""vol_90d:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
infra.top_block_producers,infra,validator,top_block_producers,Validator Leaderboard,ethereum.blocks table,Ranks top validators by blocks produced and share.,generic,"[""rank:number"",""address:string"",""blocks_produced:number"",""share:number"",""first_block:number""]",[]
infra.blob_usage_metrics,infra,blob,blob_usage_metrics,Blob Usage Metrics,ethereum.blocks table,"Computes blobs per block, moving average, base fee.",generic,"[""block_number:number"",""time:string"",""blobs:number"",""ma_blobs:number"",""target_blobs:number"",""blob_base_fee:number"",""blob_fee:number""]",[]
price.bollinger_bands,price,technical,bollinger_bands,Bollinger %B Bandwidth,prices.usd 20d SMA stddev,Computes Bollinger Bands %B and bandwidth (20d).,generic,"[""day:string"",""percent_b:number"",""bandwidth:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""90""}]"
token.token_price_correlation,token,price,token_price_correlation,Price Correlation,Dune prices.usd,Computes rolling correlation of daily prices between two tokens.,generic,"[""date:string"",""token1_price:number"",""token2_price:number"",""correlation:number""]","[{""key"": ""token1"", ""label"": ""First Token"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""token2"", ""label"": ""Second Token"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}]"
defi.balancer_gauge_vote_shares,defi,gauge,balancer_gauge_vote_shares,Gauge Vote Shares,Balancer vebal votes,Ranks gauges by vote share from veBAL votes.,protocol:balancer,"[""end_date:string"",""gauge:string"",""symbol:string"",""votes:number"",""vote_share:number""]","[{""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
token.token_risk_metrics,token,price,token_risk_metrics,Sharpe Sortino Calmar,Multi-token price stats,"Calculates Sharpe, Sortino, Calmar ratios for tokens.",generic,"[""token:string"",""sharpe:number"",""sortino:number"",""calmar:number"",""stdev:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""365""}]"
token.token_sharpe_ratio,token,price,token_sharpe_ratio,Risk-Adjusted Returns,Daily returns volatility,Computes Sharpe ratio from daily returns.,generic,"[""sharpe:number"",""sortino:number"",""calmar:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": true, ""default"": ""365""}]"
infra.mining_hashrate_dist,infra,mining,mining_hashrate_dist,Hashrate Distribution,ethereum.blocks table,Distributes miner hashrates from blocks per minute.,generic,"[""hashrate:number"",""miners_count:number""]",[]
price.rolling_volatility,price,volatility,rolling_volatility,Volatility Trends,Prices USD data,Computes rolling standard deviation of daily returns.,generic,"[""time:string"",""volatility:number"",""return:number""]","[{""key"": ""chain"", ""label"": ""Chain"", ""type"": ""chain"", ""required"": true, ""default"": null}, {""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""90""}, {""key"": ""window_days"", ""label"": ""Window Days"", ""type"": ""number"", ""required"": false, ""default"": ""10""}]"
lending.borrower_debt_usd,lending,borrow,borrower_debt_usd,Debt USD Value,Debt + prices join,Converts borrower running debt to USD at loan timestamp.,generic,"[""timestamp:string"",""borrower:string"",""borrow_usd:number""]","[{""key"": ""pool_address"", ""label"": ""Pool Address"", ""type"": ""pool_address"", ""required"": true, ""default"": null}, {""key"": ""price_token"", ""label"": ""Price Token"", ""type"": ""contract_address"", ""required"": true, ""default"": null}]"
price.token_pair_ratio_ma,price,ratio,token_pair_ratio_ma,Ratio Moving Avg,Dual token prices,Calculates token pair price ratio with moving average.,generic,"[""date:string"",""ratio:number"",""ma30:number""]","[{""key"": ""token1_addr"", ""label"": ""Token1 Addr"", ""type"": ""contract_address"", ""required"": true, ""default"": null}, {""key"": ""token2_sym"", ""label"": ""Token2 Sym"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""333""}]"
price.multi_token_correlation,price,correlation,multi_token_correlation,Price Correlations,Day spine joins,Joins multiple token daily prices for correlation analysis.,generic,"[""date:string"",""symbol:string"",""price:number""]","[{""key"": ""symbols"", ""label"": ""Symbols"", ""type"": ""text"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""730""}]"
price.return_skewness_kurtosis,price,stats,return_skewness_kurtosis,Return Distribution Metrics,Dune prices.usd,"Computes daily return statistics including average, standard deviation, skewness, and kurtosis.",generic,"[""day:string"",""avg_return:number"",""std_dev:number"",""skewness:number"",""kurtosis:number""]","[{""key"": ""token_symbol"", ""label"": ""Token Symbol"", ""type"": ""token_symbol"", ""required"": true, ""default"": null}, {""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
defi.arbitrage_volume_split,defi,dex,arbitrage_volume_split,Arb vs Speculator Volume,Dune raw_swaps + prices,Splits DEX volume between arbitrageurs and speculators using trader classification.,generic,"[""day:string"",""trader_type:string"",""num_traders:number"",""volume:number""]","[{""key"": ""protocol"", ""label"": ""Protocol"", ""type"": ""protocol"", ""required"": true, ""default"": null}, {""key"": ""date_from"", ""label"": ""Start Date"", ""type"": ""date_from"", ""required"": true, ""default"": null}]"
wallet.tx_count_cdf,wallet,activity,tx_count_cdf,Activity Distribution,Wallet Cohorts,Computes cumulative distribution of wallet transaction counts.,generic,"[""total_txs:number"",""addresses:number"",""percentile:number""]","[{""key"": ""lookback_days"", ""label"": ""Lookback Days"", ""type"": ""lookback_days"", ""required"": false, ""default"": ""365""}]"
infra.eip7702_authorizations,infra,eip7702,eip7702_authorizations,Auth List,EIP-7702 Parser,Extracts authorizations from EIP-7702 transactions via unnesting.,generic,"[""transaction_hash:string"",""chain_id:number"",""authorized_address:string""]","[{""key"": ""wallet_address"", ""label"": ""Wallet Address"", ""type"": ""wallet_address"", ""required"": true, ""default"": null}]"
